"100年02月09日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2387  ","精元            ","36,000","23,000","13,000",
" ","2423  ","固緯            ","13,000","0","13,000",
" ","3315  ","宣昶            ","14,000","1,000","13,000",
" ","3550  ","聯穎            ","14,000","1,000","13,000",
" ","6128  ","上福            ","13,000","0","13,000",
" ","6283  ","淳安            ","14,000","1,000","13,000",
" ","8070  ","長華*           ","20,000","7,000","13,000",
" ",="0051  ","元大中型100     ","12,000","0","12,000",
" ","1617  ","榮星            ","12,000","0","12,000",
" ","1726  ","永記            ","12,000","0","12,000",
" ","2359  ","所羅門          ","12,000","0","12,000",
" ","3305  ","昇貿            ","14,000","2,000","12,000",
" ","3443  ","創意            ","22,000","10,000","12,000",
" ","1108  ","幸福            ","27,000","16,000","11,000",
" ","1233  ","天仁            ","11,000","0","11,000",
" ","1321  ","大洋            ","15,000","4,000","11,000",
" ","2463  ","研揚            ","11,000","0","11,000",
" ","5484  ","慧友            ","11,000","0","11,000",
" ","6115  ","鎰勝            ","37,000","26,000","11,000",
" ","6119  ","大傳            ","13,000","2,000","11,000",
" ","6133  ","金橋            ","12,000","1,000","11,000",
" ",="034907","裕民國泰41購01  ","10,000","0","10,000",
" ",="035354","臺股指凱基3B購37","10,000","0","10,000",
" ",="035392","京鼎群益3B購03  ","10,000","0","10,000",
" ",="036821","燿華凱基46購01  ","10,000","0","10,000",
" ","1307  ","三芳            ","12,000","2,000","10,000",
" ","2488  ","漢平            ","11,000","1,000","10,000",
" ","2497  ","怡利電          ","10,000","0","10,000",
" ","2535  ","達欣工          ","12,000","2,000","10,000",
" ","2616  ","山隆            ","10,000","0","10,000",
" ","3046  ","建碁            ","10,000","0","10,000",
" ","4733  ","上緯            ","10,000","0","10,000",
" ","4737  ","華廣            ","10,000","0","10,000",
" ","9919  ","康那香          ","11,000","1,000","10,000",
" ","9943  ","好樂迪          ","11,000","1,000","10,000",
" ","1236  ","宏亞            ","9,000","0","9,000",
" ","1615  ","大山            ","17,000","8,000","9,000",
" ","3056  ","富華新          ","9,000","0","9,000",
" ","3579  ","尚志            ","15,000","6,000","9,000",
" ","4106  ","雃博            ","13,000","4,000","9,000",
" ","6112  ","邁達特          ","10,000","1,000","9,000",
" ","8081  ","致新            ","9,000","0","9,000",
" ",="035298","香港2X中信3B購01","8,000","0","8,000",
" ",="03610P","台灣50凱基42售04","8,000","0","8,000",
" ","1528  ","恩德            ","15,000","7,000","8,000",
" ","1614  ","三洋電          ","8,000","0","8,000",
" ","1731  ","美吾華          ","9,000","1,000","8,000",
" ","1810  ","和成            ","16,000","8,000","8,000",
" ","2462  ","良得電          ","16,000","8,000","8,000",
" ","2471  ","資通            ","9,000","1,000","8,000",
" ","2910  ","統領            ","8,000","0","8,000",
" ","3017  ","奇鋐            ","30,000","22,000","8,000",
" ","3209  ","全科            ","10,000","2,000","8,000",
" ","3419  ","譁裕            ","9,000","1,000","8,000",
" ","6224  ","聚鼎            ","9,000","1,000","8,000",
" ","6235  ","華孚            ","44,000","36,000","8,000",
" ","8103  ","瀚荃            ","18,000","10,000","8,000",
" ","8105  ","凌巨            ","17,000","9,000","8,000",
" ","9931  ","欣高            ","8,000","0","8,000",
" ","1315  ","達新            ","8,000","1,000","7,000",
" ","1468  ","昶和            ","7,000","0","7,000",
" ","1905  ","華紙            ","467,000","460,000","7,000",
" ","2227  ","裕日車          ","13,000","6,000","7,000",
" ","2477  ","美隆電          ","27,000","20,000","7,000",
" ","2611  ","志信            ","10,000","3,000","7,000",
" ","3532  ","台勝科          ","54,000","47,000","7,000",
" ",="01002T","土銀國泰R1      ","6,000","0","6,000",
" ","1472  ","三洋實業        ","7,000","1,000","6,000",
" ","1724  ","台硝            ","12,000","6,000","6,000",
" ","1727  ","中華化          ","8,000","2,000","6,000",
" ","1730  ","花仙子          ","10,000","4,000","6,000",
" ","2017  ","官田鋼          ","35,000","29,000","6,000",
" ","2464  ","盟立            ","120,000","114,000","6,000",
" ","6281  ","全國電          ","23,000","17,000","6,000",
" ","9910  ","豐泰            ","30,000","24,000","6,000",
" ","9938  ","百和            ","24,000","18,000","6,000",
" ",="035861","群創中信3B購01  ","5,000","0","5,000",
" ",="036926","奇鋐元大3C購07  ","10,000","5,000","5,000",
" ","1232  ","大統益          ","12,000","7,000","5,000",
" ","1235  ","興泰            ","6,000","1,000","5,000",
" ","1459  ","聯發            ","17,000","12,000","5,000",
" ","1734  ","杏輝            ","26,000","21,000","5,000",
" ","2305  ","全友            ","5,000","0","5,000",
" ","2485  ","兆赫            ","144,000","139,000","5,000",
" ","2493  ","揚博            ","8,000","3,000","5,000",
" ","6136  ","富爾特          ","10,000","5,000","5,000",
" ","6216  ","居易            ","5,000","0","5,000",
" ","6277  ","宏正            ","28,000","23,000","5,000",
" ","8016  ","矽創            ","149,000","144,000","5,000",
" ","8072  ","陞泰            ","5,000","0","5,000",
" ","1413  ","宏洲            ","5,000","1,000","4,000",
" ","2062  ","橋椿            ","4,000","0","4,000",
" ","2453  ","凌群            ","5,000","1,000","4,000",
" ","2482  ","連宇            ","4,000","0","4,000",
" ","8033  ","雷虎            ","4,000","0","4,000",
" ","9918  ","欣天然          ","4,000","0","4,000",
" ",="0052  ","富邦科技        ","3,000","0","3,000",
" ",="0057  ","富邦摩台        ","3,000","0","3,000",
" ",="03822P","台積電統一47售13","3,000","0","3,000",
" ","1109  ","信大            ","3,000","0","3,000",
" ","1231  ","聯華食          ","5,000","2,000","3,000",
" ","1435  ","中福            ","6,000","3,000","3,000",
" ","1525  ","江申            ","8,000","5,000","3,000",
" ","1616  ","億泰            ","3,000","0","3,000",
" ","2528  ","皇普            ","3,000","0","3,000",
" ","3029  ","零壹            ","13,000","10,000","3,000",
" ","3031  ","佰鴻            ","30,000","27,000","3,000",
" ","3047  ","訊舟            ","4,000","1,000","3,000",
" ","8213  ","志超            ","35,000","32,000","3,000",
" ","2408  ","南亞科          ","1,972,333","1,970,000","2,333",
" ","1512  ","瑞利            ","2,000","0","2,000",
" ","2358  ","廷鑫            ","3,000","1,000","2,000",
" ","2425  ","承啟            ","30,000","28,000","2,000",
" ","3025  ","星通            ","3,000","1,000","2,000",
" ","3130  ","一零四          ","2,000","0","2,000",
" ","3432  ","台端            ","5,000","3,000","2,000",
" ","4414  ","如興            ","2,000","0","2,000",
" ","9911  ","櫻花            ","14,000","12,000","2,000",
" ",="03697P","創意元富42售04  ","1,000","0","1,000",
" ","1325  ","恆大            ","1,000","0","1,000",
" ","1446  ","宏和            ","1,000","0","1,000",
" ","1539  ","巨庭            ","1,000","0","1,000",
" ","2390  ","云辰            ","18,000","17,000","1,000",
" ","2427  ","三商電          ","11,000","10,000","1,000",
" ","2537  ","聯上發          ","2,000","1,000","1,000",
" ","2613  ","中櫃            ","1,000","0","1,000",
" ","2904  ","匯僑            ","1,000","0","1,000",
" ","3573  ","穎台            ","26,000","25,000","1,000",
" ","3593  ","力銘            ","5,000","4,000","1,000",
" ","4532  ","瑞智            ","66,000","65,000","1,000",
" ","9926  ","新海            ","1,000","0","1,000",
" ","2417  ","圓剛            ","191,000","190,124","876",
"*","2330  ","台積電          ","32,554,736","63,084,547","-30,529,811",
"*","2303  ","聯電            ","17,907,359","40,991,767","-23,084,408",
" ","2353  ","宏碁            ","11,255,480","33,240,053","-21,984,573",
" ","2409  ","友達            ","10,642,268","23,525,677","-12,883,409",
" ","2313  ","華通            ","495,000","9,408,000","-8,913,000",
" ","2885  ","元大金          ","21,548,000","29,815,860","-8,267,860",
